l.a1ɪ1.t.ɪ0.n.ʌ0.n, l.a1ɪ1.ɾ.ɪ0.n.ʌ0.n
m.o1ʊ1.t.ɚ0.k.e2ɪ2.d, m.o1ʊ1.ɾ.ɚ0.k.e2ɪ2.d
ɹ.i2.ɪ0.n.s.t.e1ɪ1.t.ɪ0.ŋ, ɹ.i2.ɪ0.n.s.t.e1ɪ1.ɾ.ɪ0.ŋ
p.ɑ0.g.n.o1ʊ1.t.ʌ0, p.ɑ0.g.n.o1ʊ1.ɾ.ʌ0
θ.ʌ0.m.æ1.t.ɪ0.k.l.i0, θ.ʌ0.m.æ1.ɾ.ɪ0.k.l.i0
b.æ1.t.ʌ0.n, b.æ1.ɾ.ʌ0.n
k.ɹ.o0ʊ0.m.æ1.t.ʌ0.g.ɹ.æ0.m.z, k.ɹ.o0ʊ0.m.æ1.ɾ.ʌ0.g.ɹ.æ0.m.z
p.ɹ.ɛ1.t.i0.m.ʌ0.n, p.ɹ.ɛ1.ɾ.i0.m.ʌ0.n
j.u1.t.ʌ0.k.ʌ0, j.u1.ɾ.ʌ0.k.ʌ0
k.ɑ1.n.s.ʌ0.k.ɹ.e2ɪ2.t.ɪ0.d, k.ɑ1.n.s.ʌ0.k.ɹ.e2ɪ2.ɾ.ɪ0.d
k.æ1.t.ɑ0.l.ɑ2.n, k.æ1.ɾ.ɑ0.l.ɑ2.n
p.ɹ.i0.n.e1ɪ1.t.ʌ0.l, p.ɹ.i0.n.e1ɪ1.ɾ.ʌ0.l
ɔ2.t.ʌ0.m.o1ʊ1.t.ɪ0.v, ɔ2.ɾ.ʌ0.m.o1ʊ1.ɾ.ɪ0.v
f.l.ɑ1.t.a0ʊ0, f.l.ɑ1.ɾ.a0ʊ0
p.ɪ1.t.i0.ʌ0.b.ʌ0.l, p.ɪ1.ɾ.i0.ʌ0.b.ʌ0.l
w.ɔ1.t.ɚ0.b.ɛ2.ɹ.i0, w.ɔ1.ɾ.ɚ0.b.ɛ2.ɹ.i0
s.p.j.u1.t.ʌ0.m, s.p.j.u1.ɾ.ʌ0.m
t.ɑ0.k.e0ɪ0.m.o1ʊ1.t.o2ʊ2, t.ɑ0.k.e0ɪ0.m.o1ʊ1.ɾ.o2ʊ2
a1ɪ1.t.ʌ0.l, a1ɪ1.ɾ.ʌ0.l
k.ɚ1.t.ʌ0.n, k.ɚ1.ɾ.ʌ0.n
b.ɚ1.t.ɪ0.l, b.ɚ1.ɾ.ɪ0.l
ɪ0.g.z.ɪ1.l.ɚ0.e2ɪ2.t.ɪ0.d, ɪ0.g.z.ɪ1.l.ɚ0.e2ɪ2.ɾ.ɪ0.d
l.o1ʊ1.k.e2ɪ2.t.ɪ0.ŋ, l.o1ʊ1.k.e2ɪ2.ɾ.ɪ0.ŋ
ɹ.o0ʊ0.z.ɑ1.t.o0ʊ0, ɹ.o0ʊ0.z.ɑ1.ɾ.o0ʊ0
ʌ0.s.i2.t.ʌ0.m.ɪ1.n.ʌ0.f.ʌ0.n, ʌ0.s.i2.ɾ.ʌ0.m.ɪ1.n.ʌ0.f.ʌ0.n
k.ɑ1.t.ɚ0, k.ɑ1.ɾ.ɚ0
f.ɛ1.t.ɚ0, f.ɛ1.ɾ.ɚ0
k.j.u1.t.ɪ0.s.t, k.j.u1.ɾ.ɪ0.s.t
p.æ1.t.ɪ0.ŋ, p.æ1.ɾ.ɪ0.ŋ
g.ɛ1.t.ɪ0.ŋ, g.ɛ1.ɾ.ɪ0.ŋ
s.ʌ1.b.k.ʌ0.m.ɪ1.t.i0.z, s.ʌ1.b.k.ʌ0.m.ɪ1.ɾ.i0.z
m.ɪ1.t.ʌ0.g.e2ɪ2.t.s, m.ɪ1.ɾ.ʌ0.g.e2ɪ2.t.s
p.i0.t.s.u1.t.i0, p.i0.t.s.u1.ɾ.i0
b.ɹ.æ1.t.ɪ0.n, b.ɹ.æ1.ɾ.ɪ0.n
ɪ2.n.s.ɪ1.t.u2.f.ɔ0.ɹ.m, ɪ2.n.s.ɪ1.ɾ.u2.f.ɔ0.ɹ.m
ɛ2.n.ɚ0.dʒ.ɛ1.t.ɪ0.k, ɛ2.n.ɚ0.dʒ.ɛ1.ɾ.ɪ0.k
æ1.t.ɔ2.l, æ1.ɾ.ɔ2.l
p.e1ɪ1.t.ʌ0.n, p.e1ɪ1.ɾ.ʌ0.n
θ.ɛ2.ɹ.ʌ0.p.j.u1.t.ɪ0.k.s, θ.ɛ2.ɹ.ʌ0.p.j.u1.ɾ.ɪ0.k.s
ɛ2.ɹ.ʌ0.b.æ1.t.ɪ0.k.s, ɛ2.ɹ.ʌ0.b.æ1.ɾ.ɪ0.k.s
æ2.n.ʌ0.l.ɪ1.t.ɪ0.k.s, æ2.n.ʌ0.l.ɪ1.ɾ.ɪ0.k.s
b.æ1.t.ʌ0.l.ʃ.ɪ2.p, b.æ1.ɾ.ʌ0.l.ʃ.ɪ2.p
b.ɹ.ɪ1.t.i0.ʌ0.n, b.ɹ.ɪ1.ɾ.i0.ʌ0.n
ɹ.ɪ0.g.ɹ.ɛ1.t.ʌ0.b.l.i0, ɹ.ɪ0.g.ɹ.ɛ1.ɾ.ʌ0.b.l.i0
g.a1ʊ1.t.i0, g.a1ʊ1.ɾ.i0
s.ɪ1.t.i0.s.t.i2.l, s.ɪ1.ɾ.i0.s.t.i2.l
p.i1.t.ɚ0.z.b.ɚ0.g, p.i1.ɾ.ɚ0.z.b.ɚ0.g
p.ɛ1.t.i0, p.ɛ1.ɾ.i0
d.ɔ0.g.m.æ1.t.ɪ0.k, d.ɔ0.g.m.æ1.ɾ.ɪ0.k
dʒ.ʌ1.t.ɪ0.ŋ, dʒ.ʌ1.ɾ.ɪ0.ŋ
m.o1ʊ1.t.ɚ0.b.a2ɪ2.k.s, m.o1ʊ1.ɾ.ɚ0.b.a2ɪ2.k.s
m.o1ʊ1.t.ʌ0.v.e2ɪ2.t.ʌ0.d, m.o1ʊ1.ɾ.ʌ0.v.e2ɪ2.ɾ.ʌ0.d
g.ɚ1.t.ʌ0.l.ɚ0, g.ɚ1.ɾ.ʌ0.l.ɚ0
ɹ.æ1.t.ɪ0.g.ʌ0.n.z, ɹ.æ1.ɾ.ɪ0.g.ʌ0.n.z
k.ʌ0.m.j.u1.n.ʌ0.k.e2ɪ2.t.ɪ0.ŋ, k.ʌ0.m.j.u1.n.ʌ0.k.e2ɪ2.ɾ.ɪ0.ŋ
ɪ1.n.o0ʊ0.v.e2ɪ2.t.ɪ0.v, ɪ1.n.o0ʊ0.v.e2ɪ2.ɾ.ɪ0.v
tʃ.æ2.t.ɪ0.h.ɑ1.tʃ.i0.z, tʃ.æ2.ɾ.ɪ0.h.ɑ1.tʃ.i0.z
g.ʌ1.t.ɚ0, g.ʌ1.ɾ.ɚ0
p.i1.t.ɚ0.z.ɪ0.k, p.i1.ɾ.ɚ0.z.ɪ0.k
t.o0ʊ0.j.o1ʊ1.t.ʌ0.z, t.o0ʊ0.j.o1ʊ1.ɾ.ʌ0.z
ɹ.ʌ1.t.ʌ0.n, ɹ.ʌ1.ɾ.ʌ0.n
z.o1ʊ1.t.o0ʊ0.z, z.o1ʊ1.ɾ.o0ʊ0.z
ɹ.ɪ0.p.i1.t.ɪ0.ŋ, ɹ.ɪ0.p.i1.ɾ.ɪ0.ŋ
o2ʊ2.v.ɚ0.ɹ.e1ɪ1.t.ɪ0.d, o2ʊ2.v.ɚ0.ɹ.e1ɪ1.ɾ.ɪ0.d
ʃ.e0ɪ0.l.i1.t.o0ʊ0, ʃ.e0ɪ0.l.i1.ɾ.o0ʊ0
m.ɪ1.l.ʌ0.l.i2.t.ɚ0.z, m.ɪ1.l.ʌ0.l.i2.ɾ.ɚ0.z
k.ʌ0.s.ɑ1.t.u2.z, k.ʌ0.s.ɑ1.ɾ.u2.z
ɪ2.n.k.ɔ0.g.n.i1.t.o0ʊ0, ɪ2.n.k.ɔ0.g.n.i1.ɾ.o0ʊ0
l.æ1.t.ɪ0.n.d.ɹ.ɛ0.s, l.æ1.ɾ.ɪ0.n.d.ɹ.ɛ0.s
l.ʌ0.v.ɪ1.t.ʌ0.k.ʌ0.n, l.ʌ0.v.ɪ1.ɾ.ʌ0.k.ʌ0.n
b.u1.t.o0ʊ0, b.u1.ɾ.o0ʊ0
d.i1.t.ʌ0.l, d.i1.ɾ.ʌ0.l
g.ɑ1.t.ʌ0.n, g.ɑ1.ɾ.ʌ0.n
f.ʌ0.n.ɛ1.t.ɪ0.k.s, f.ʌ0.n.ɛ1.ɾ.ɪ0.k.s
s.ɛ1.t.ʌ0.l.m.ʌ0.n.t, s.ɛ1.ɾ.ʌ0.l.m.ʌ0.n.t
p.ʌ0.l.ɪ2.t.ʌ0.s.ʌ0.z.e1ɪ1.ʃ.ʌ0.n, p.ʌ0.l.ɪ2.ɾ.ʌ0.s.ʌ0.z.e1ɪ1.ʃ.ʌ0.n
b.j.u1.t.e0ɪ0.n, b.j.u1.ɾ.e0ɪ0.n
t.ɹ.o0ʊ0.v.ɑ1.t.o0ʊ0, t.ɹ.o0ʊ0.v.ɑ1.ɾ.o0ʊ0
h.ɚ1.t.ʌ0.l, h.ɚ1.ɾ.ʌ0.l
p.l.æ1.t.ʌ0.n, p.l.æ1.ɾ.ʌ0.n
t.ɛ1.t.i0, t.ɛ1.ɾ.i0
f.ʌ0.n.æ1.t.ɪ0.k.s, f.ʌ0.n.æ1.ɾ.ɪ0.k.s
p.ɹ.ɑ1.t.ʌ0.s.t.ʌ0.n.t.s, p.ɹ.ɑ1.ɾ.ʌ0.s.t.ʌ0.n.t.s
n.æ1.v.ʌ0.g.e2ɪ2.t.ɚ0.z, n.æ1.v.ʌ0.g.e2ɪ2.ɾ.ɚ0.z
f.l.e1ɪ1.t.ɚ0, f.l.e1ɪ1.ɾ.ɚ0
ʌ0.p.ɹ.i1.ʃ.i0.e2ɪ2.t.ɪ0.v.l.i0, ʌ0.p.ɹ.i1.ʃ.i0.e2ɪ2.ɾ.ɪ0.v.l.i0
ɹ.ɑ1.t.ɚ0, ɹ.ɑ1.ɾ.ɚ0
m.æ1.s.t.ɚ0.b.e2ɪ2.t.ɪ0.d, m.æ1.s.t.ɚ0.b.e2ɪ2.ɾ.ɪ0.d
ɹ.i0.b.ʌ1.t.ɪ0.ŋ, ɹ.i0.b.ʌ1.ɾ.ɪ0.ŋ
k.ɚ1.t.ʌ0.n.e0ɪ0, k.ɚ1.ɾ.ʌ0.n.e0ɪ0
d.e1ɪ1.t.ɚ0.æ2.m, d.e1ɪ1.ɾ.ɚ0.æ2.m
p.æ1.t.ɪ0.d, p.æ1.ɾ.ɪ0.d
n.o1ʊ1.t.ʌ0.b.l.i0, n.o1ʊ1.ɾ.ʌ0.b.l.i0
s.m.ʌ1.t.i2, s.m.ʌ1.ɾ.i2
æ1.d.v.ɚ2.t.a2ɪ2.z.ɚ0.z, æ1.d.v.ɚ2.ɾ.a2ɪ2.z.ɚ0.z
k.a1ʊ1.n.t.ɚ0.f.ɪ2.t.ɚ0.z, k.a1ʊ1.n.t.ɚ0.f.ɪ2.ɾ.ɚ0.z
m.ɔ0.ɹ.ɛ1.t.i0, m.ɔ0.ɹ.ɛ1.ɾ.i0
dʒ.ɛ1.t.ɪ0.ŋ, dʒ.ɛ1.ɾ.ɪ0.ŋ
ʌ0.k.ɹ.i1.t.ɪ0.d, ʌ0.k.ɹ.i1.ɾ.ɪ0.d
ɹ.ɪ0.f.j.u1.t.ɪ0.ŋ, ɹ.ɪ0.f.j.u1.ɾ.ɪ0.ŋ
ɹ.i0.ɪ1.t.ɚ0.ʌ0, ɹ.i0.ɪ1.ɾ.ɚ0.ʌ0
d.ɪ2.f.ɚ0.ɛ1.n.tʃ.i0.e2ɪ2.t.ɪ0.ŋ, d.ɪ2.f.ɚ0.ɛ1.n.tʃ.i0.e2ɪ2.ɾ.ɪ0.ŋ
p.ɹ.æ1.t.ʌ0.l.z, p.ɹ.æ1.ɾ.ʌ0.l.z
o0ʊ0.d.ɛ1.t.ɪ0.k.s, o0ʊ0.d.ɛ1.ɾ.ɪ0.k.s
w.ɔ1.t.ɚ0.f.ɔ2.l.z, w.ɔ1.ɾ.ɚ0.f.ɔ2.l.z
k.ʌ0.l.ɑ1.m.ʌ2.t.ɚ0.z, k.ʌ0.l.ɑ1.m.ʌ2.ɾ.ɚ0.z
h.w.i1.t.i0.z, h.w.i1.ɾ.i0.z
p.o1ʊ1.t.i0.ɚ0, p.o1ʊ1.ɾ.i0.ɚ0
m.ʌ0.s.k.i1.t.o0ʊ0.z, m.ʌ0.s.k.i1.ɾ.o0ʊ0.z
ɹ.ɪ0.t.æ1.l.i0.e2ɪ2.t.ɪ0.ŋ, ɹ.ɪ0.t.æ1.l.i0.e2ɪ2.ɾ.ɪ0.ŋ
l.a1ɪ1.t.ɚ0, l.a1ɪ1.ɾ.ɚ0
dʒ.ɛ1.n.ɚ0.e2ɪ2.t.ɪ0.ŋ, dʒ.ɛ1.n.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
l.ɛ1.t.i0, l.ɛ1.ɾ.i0
k.ʌ0.l.æ1.b.ɚ0.e2ɪ2.t.ɪ0.ŋ, k.ʌ0.l.æ1.b.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
ɛ1.k.s.p.l.ɔ2ɪ2.t.ɪ0.ŋ, ɛ1.k.s.p.l.ɔ2ɪ2.ɾ.ɪ0.ŋ
b.ɹ.a1ɪ1.t.ɪ0.n.b.ɑ0.k, b.ɹ.a1ɪ1.ɾ.ɪ0.n.b.ɑ0.k
tʃ.ɪ1.t.ɚ0.tʃ.æ1.t.ɚ0, tʃ.ɪ1.ɾ.ɚ0.tʃ.æ1.ɾ.ɚ0
k.j.o1ʊ1.t.o0ʊ0, k.j.o1ʊ1.ɾ.o0ʊ0
s.k.ɹ.u1.t.ʌ0.n.a2ɪ2.z, s.k.ɹ.u1.ɾ.ʌ0.n.a2ɪ2.z
s.ʌ0.f.ɪ1.s.t.ʌ0.k.e2ɪ2.t.ɪ0.d, s.ʌ0.f.ɪ1.s.t.ʌ0.k.e2ɪ2.ɾ.ɪ0.d
ʌ0.n.s.u1.t.ɪ0.d, ʌ0.n.s.u1.ɾ.ɪ0.d
m.ɛ1.t.æ1.l.ʌ0.t.s, m.ɛ1.ɾ.æ1.l.ʌ0.t.s
l.æ1.t.i0, l.æ1.ɾ.i0
h.ɪ2.p.ʌ0.k.ɹ.ɪ1.t.ɪ0.k.ʌ0.l, h.ɪ2.p.ʌ0.k.ɹ.ɪ1.ɾ.ɪ0.k.ʌ0.l
ɪ2.n.t.ɛ1.ɹ.ʌ0.g.e2ɪ2.t.ɚ0, ɪ2.n.t.ɛ1.ɹ.ʌ0.g.e2ɪ2.ɾ.ɚ0
a1ɪ1.s.s.k.e2ɪ2.t.ɪ0.ŋ, a1ɪ1.s.s.k.e2ɪ2.ɾ.ɪ0.ŋ
m.ʌ0.k.i1.t.ʌ0, m.ʌ0.k.i1.ɾ.ʌ0
f.l.æ1.t.a0ʊ0, f.l.æ1.ɾ.a0ʊ0
ɹ.o1ʊ1.t.ʌ0.t.ɪ2.l.ɚ0, ɹ.o1ʊ1.ɾ.ʌ0.t.ɪ2.l.ɚ0
ɹ.ɪ0.p.i1.t.ʌ0.b.ʌ0.l, ɹ.ɪ0.p.i1.ɾ.ʌ0.b.ʌ0.l
ɪ2.m.p.ɑ0.s.t.ɑ1.t.o0ʊ0, ɪ2.m.p.ɑ0.s.t.ɑ1.ɾ.o0ʊ0
ɪ2.n.ɔ1.g.ɚ0.e2ɪ2.t.ɪ0.d, ɪ2.n.ɔ1.g.ɚ0.e2ɪ2.ɾ.ɪ0.d
k.ʌ0.m.p.ɛ1.t.ʌ0.t.ɚ0, k.ʌ0.m.p.ɛ1.ɾ.ʌ0.t.ɚ0
ɹ.i0.ɪ0.v.æ1.l.j.u0.e2ɪ2.t.ɪ0.d, ɹ.i0.ɪ0.v.æ1.l.j.u0.e2ɪ2.ɾ.ɪ0.d
p.ɑ1.t.ɚ0.z, p.ɑ1.ɾ.ɚ0.z
i0.ʌ0.n.o1ʊ1.t.i0, i0.ʌ0.n.o1ʊ1.ɾ.i0
ɹ.o1ʊ1.t.ɚ0, ɹ.o1ʊ1.ɾ.ɚ0
ɹ.o1ʊ1.z.ʌ0.n.t.ɹ.ɛ2.t.ɚ0, ɹ.o1ʊ1.z.ʌ0.n.t.ɹ.ɛ2.ɾ.ɚ0
n.ʌ0.k.i1.t.ʌ0, n.ʌ0.k.i1.ɾ.ʌ0
p.ɑ1.t.ʌ0.p.ɑ2.v, p.ɑ1.ɾ.ʌ0.p.ɑ2.v
v.æ0.n.m.i1.t.ɚ0, v.æ0.n.m.i1.ɾ.ɚ0
k.l.ɑ0.ɹ.i1.t.ʌ0, k.l.ɑ0.ɹ.i1.ɾ.ʌ0
s.ɪ1.m.j.ʌ0.l.e2ɪ2.t.ɚ0, s.ɪ1.m.j.ʌ0.l.e2ɪ2.ɾ.ɚ0
k.ʌ0.n.k.æ1.t.ʌ0.n.e2ɪ2.t.ʌ0.d, k.ʌ0.n.k.æ1.ɾ.ʌ0.n.e2ɪ2.ɾ.ʌ0.d
ɹ.i0.m.ɪ1.t.ɪ0.d, ɹ.i0.m.ɪ1.ɾ.ɪ0.d
p.ɹ.o1ʊ1.k.ɹ.i0.e1ɪ1.t.ɪ0.ŋ, p.ɹ.o1ʊ1.k.ɹ.i0.e1ɪ1.ɾ.ɪ0.ŋ
l.æ1.t.ʌ0.m.ɚ0, l.æ1.ɾ.ʌ0.m.ɚ0
s.e1ɪ1.t.ʌ0.n.ɪ0.s.t, s.e1ɪ1.ɾ.ʌ0.n.ɪ0.s.t
l.æ1.t.ʌ0.n, l.æ1.ɾ.ʌ0.n
p.ɑ2.t.ɪ1.k.j.ʌ0.l.ɚ0, p.ɑ2.ɾ.ɪ1.k.j.ʌ0.l.ɚ0
h.w.ɪ1.t.ʌ0.m, h.w.ɪ1.ɾ.ʌ0.m
f.æ1.t.i0.z, f.æ1.ɾ.i0.z
d.o1ʊ1.t.o0ʊ0, d.o1ʊ1.ɾ.o0ʊ0
k.æ1.p.t.ɪ0.v.e2ɪ2.t.ɪ0.ŋ, k.æ1.p.t.ɪ0.v.e2ɪ2.ɾ.ɪ0.ŋ
p.l.u1.t.ʌ0, p.l.u1.ɾ.ʌ0
l.ɛ1.t.ʌ0.l.i0.ɚ0, l.ɛ1.ɾ.ʌ0.l.i0.ɚ0
h.ɑ1.s.p.ɪ1.t.ʌ0.b.ʌ0.l, h.ɑ1.s.p.ɪ1.ɾ.ʌ0.b.ʌ0.l
d.i0.k.æ1.f.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, d.i0.k.æ1.f.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
ʌ2.n.k.ʌ0.m.p.l.i1.t.ɪ0.d, ʌ2.n.k.ʌ0.m.p.l.i1.ɾ.ɪ0.d
ɚ0.ɪ1.dʒ.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, ɚ0.ɪ1.dʒ.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
w.ɪ1.t.ɪ0.n.m.i0.ɚ0, w.ɪ1.ɾ.ɪ0.n.m.i0.ɚ0
t.ɛ1.t.ɚ0.t.ʌ0.n, t.ɛ1.ɾ.ɚ0.t.ʌ0.n
t.æ1.t.ɚ0.d, t.æ1.ɾ.ɚ0.d
b.ɪ0.l.o1ʊ1.t.ʌ0, b.ɪ0.l.o1ʊ1.ɾ.ʌ0
m.ɚ1.t.ɔ0, m.ɚ1.ɾ.ɔ0
ɔ2.t.o0ʊ0.m.æ1.t.ɪ0.k.l.i0, ɔ2.ɾ.o0ʊ0.m.æ1.ɾ.ɪ0.k.l.i0
g.æ1.t.ɚ0.e2ɪ2.d, g.æ1.ɾ.ɚ0.e2ɪ2.d
s.æ1.tʃ.ɚ0.e2ɪ2.t.ʌ0.d, s.æ1.tʃ.ɚ0.e2ɪ2.ɾ.ʌ0.d
ɑ0.ɹ.v.ʌ0.n.a1ɪ1.t.ɪ0.s, ɑ0.ɹ.v.ʌ0.n.a1ɪ1.ɾ.ɪ0.s
dʒ.o0ʊ0.v.ɑ0.n.ɛ1.t.i0, dʒ.o0ʊ0.v.ɑ0.n.ɛ1.ɾ.i0
f.æ1.s.ʌ0.n.e2ɪ2.t.ɪ0.d, f.æ1.s.ʌ0.n.e2ɪ2.ɾ.ɪ0.d
j.u0.n.a1ɪ1.t.ʌ0.d, j.u0.n.a1ɪ1.ɾ.ʌ0.d
ɹ.ɪ0.m.o1ʊ1.t.ʌ0.s.t, ɹ.ɪ0.m.o1ʊ1.ɾ.ʌ0.s.t
ʌ0.b.e1ɪ1.t.ɪ0.d, ʌ0.b.e1ɪ1.ɾ.ɪ0.d
k.ɚ1.t.o0ʊ0, k.ɚ1.ɾ.o0ʊ0
ɑ0.ɹ.ɑ1.t.ʌ0, ɑ0.ɹ.ɑ1.ɾ.ʌ0
b.æ1.t.ɚ0.i0, b.æ1.ɾ.ɚ0.i0
k.o0ʊ0.d.i0.s.p.o1ʊ1.t.i0, k.o0ʊ0.d.i0.s.p.o1ʊ1.ɾ.i0
b.ɪ0.n.ʌ0.d.ɛ1.t.o0ʊ0, b.ɪ0.n.ʌ0.d.ɛ1.ɾ.o0ʊ0
k.ɑ0.ɹ.o0ʊ0.t.ɛ0.n.u1.t.o0ʊ0, k.ɑ0.ɹ.o0ʊ0.t.ɛ0.n.u1.ɾ.o0ʊ0
ɛ1.k.s.t.ɹ.ʌ0.k.e2ɪ2.t.ɪ0.ŋ, ɛ1.k.s.t.ɹ.ʌ0.k.e2ɪ2.ɾ.ɪ0.ŋ
g.ɑ1.t.i0.z, g.ɑ1.ɾ.i0.z
ɪ1.n.s.ʌ0.l.e2ɪ2.t.ɚ0.z, ɪ1.n.s.ʌ0.l.e2ɪ2.ɾ.ɚ0.z
s.k.ɹ.u1.t.ʌ0.n.a2ɪ2.z.d, s.k.ɹ.u1.ɾ.ʌ0.n.a2ɪ2.z.d
ʃ.o1ʊ1.t.a2ɪ2.m.z, ʃ.o1ʊ1.ɾ.a2ɪ2.m.z
p.ɑ0.ɹ.t.ɪ1.s.ʌ0.p.e2ɪ2.t.ɪ0.ŋ, p.ɑ0.ɹ.t.ɪ1.s.ʌ0.p.e2ɪ2.ɾ.ɪ0.ŋ
b.ɪ0.l.ɪ1.t.ʌ0.l, b.ɪ0.l.ɪ1.ɾ.ʌ0.l
j.u1.t.ʌ0.l.a2ɪ2.z.d, j.u1.ɾ.ʌ0.l.a2ɪ2.z.d
d.i2.m.ɑ2.dʒ.ʌ0.l.e1ɪ1.t.ʌ0.d, d.i2.m.ɑ2.dʒ.ʌ0.l.e1ɪ1.ɾ.ʌ0.d
p.a1ʊ1.t.i0, p.a1ʊ1.ɾ.i0
ʌ0.n.t.ɹ.i1.t.ʌ0.b.ʌ0.l, ʌ0.n.t.ɹ.i1.ɾ.ʌ0.b.ʌ0.l
h.w.ɪ1.t.ɪ0.ŋ.h.æ2.m, h.w.ɪ1.ɾ.ɪ0.ŋ.h.æ2.m
ɹ.u1.t.ʌ0.b.e0ɪ0.g.ʌ0.z, ɹ.u1.ɾ.ʌ0.b.e0ɪ0.g.ʌ0.z
n.o1ʊ1.t.ɪ0.s.ɪ0.ŋ, n.o1ʊ1.ɾ.ɪ0.s.ɪ0.ŋ
ɹ.ɪ1.t.ʌ0.n.b.ɛ0.ɹ.i0, ɹ.ɪ1.ɾ.ʌ0.n.b.ɛ0.ɹ.i0
k.ʌ0.m.p.j.u1.t.ɚ0.a2ɪ2.z, k.ʌ0.m.p.j.u1.ɾ.ɚ0.a2ɪ2.z
ɪ2.n.v.ɛ1.s.t.ʌ0.g.e2ɪ2.t.ɪ0.d, ɪ2.n.v.ɛ1.s.t.ʌ0.g.e2ɪ2.ɾ.ɪ0.d
ɔ1.ɹ.k.ɪ0.s.t.ɹ.e2ɪ2.t.ɪ0.d, ɔ1.ɹ.k.ɪ0.s.t.ɹ.e2ɪ2.ɾ.ɪ0.d
p.j.u1.t.ɚ0, p.j.u1.ɾ.ɚ0
ɹ.ɛ1.k.ɹ.i0.e2ɪ2.t.ɪ0.ŋ, ɹ.ɛ1.k.ɹ.i0.e2ɪ2.ɾ.ɪ0.ŋ
p.æ1.t.ɚ0.ʌ0.l.a2ɪ2.z, p.æ1.ɾ.ɚ0.ʌ0.l.a2ɪ2.z
b.ʌ1.t.ɚ0.z, b.ʌ1.ɾ.ɚ0.z
d.e1ɪ1.t.ʌ0.p.ɔ1ɪ1.n.t, d.e1ɪ1.ɾ.ʌ0.p.ɔ1ɪ1.n.t
m.ʌ1.t.ɚ0.z, m.ʌ1.ɾ.ɚ0.z
s.t.ɛ1.p.d.ɔ2.t.ɚ0.z, s.t.ɛ1.p.d.ɔ2.ɾ.ɚ0.z
k.e1ɪ1.t.ʌ0.n, k.e1ɪ1.ɾ.ʌ0.n
b.ɛ1.t.i0.z, b.ɛ1.ɾ.i0.z
s.k.ɹ.ɪ1.p.t.ɹ.a2ɪ2.t.ɪ0.ŋ, s.k.ɹ.ɪ1.p.t.ɹ.a2ɪ2.ɾ.ɪ0.ŋ
æ2.l.f.ʌ0.f.o2ʊ2.t.ʌ0.g.ɹ.æ1.f.ɪ0.k, æ2.l.f.ʌ0.f.o2ʊ2.ɾ.ʌ0.g.ɹ.æ1.f.ɪ0.k
s.o2ʊ2.t.o0ʊ0.m.e0ɪ0.ɔ1.ɹ, s.o2ʊ2.ɾ.o0ʊ0.m.e0ɪ0.ɔ1.ɹ
d.ɪ0.k.t.e1ɪ1.t.ɪ0.d, d.ɪ0.k.t.e1ɪ1.ɾ.ɪ0.d
p.ɑ0.o0ʊ0.l.ɛ1.t.i0, p.ɑ0.o0ʊ0.l.ɛ1.ɾ.i0
s.ʌ0.b.ɔ1.ɹ.d.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, s.ʌ0.b.ɔ1.ɹ.d.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
p.ɛ1.n.ʌ0.t.ɹ.e2ɪ2.t.ɚ0.z, p.ɛ1.n.ʌ0.t.ɹ.e2ɪ2.ɾ.ɚ0.z
e1ɪ1.t.ɛ2.k, e1ɪ1.ɾ.ɛ2.k
f.l.o1ʊ1.t.ʌ0.n, f.l.o1ʊ1.ɾ.ʌ0.n
h.e1ɪ1.t.i0.z, h.e1ɪ1.ɾ.i0.z
f.l.ɛ0.g.m.æ1.t.ɪ0.k, f.l.ɛ0.g.m.æ1.ɾ.ɪ0.k
ɹ.i0.ɹ.ɪ1.t.ʌ0.n, ɹ.i0.ɹ.ɪ1.ɾ.ʌ0.n
d.o1ʊ1.t.ɚ0.ɪ0.v, d.o1ʊ1.ɾ.ɚ0.ɪ0.v
ɪ0.g.z.ɚ1.t.ɪ0.d, ɪ0.g.z.ɚ1.ɾ.ɪ0.d
v.i0.b.ɹ.ɑ1.t.o0ʊ0, v.i0.b.ɹ.ɑ1.ɾ.o0ʊ0
ɹ.ɛ1.n.ʌ0.v.e2ɪ2.t.ɪ0.ŋ, ɹ.ɛ1.n.ʌ0.v.e2ɪ2.ɾ.ɪ0.ŋ
p.ɚ0.o1ʊ1.t.i0, p.ɚ0.o1ʊ1.ɾ.i0
k.ɑ1.p.i0.ɹ.a2ɪ2.t.ɪ0.d, k.ɑ1.p.i0.ɹ.a2ɪ2.ɾ.ɪ0.d
ɹ.i1.æ1.k.t.ʌ0.v.e2ɪ2.t.ɪ0.d, ɹ.i1.æ1.k.t.ʌ0.v.e2ɪ2.ɾ.ɪ0.d
